Wirtschaftszweig;Anlagegüter;Nutzungsdauer (ND) i.J.;Linearer AfA-Satz v.H.
Abfallentsorgungs- und Recyclingwirtschaft;Sammelfahrzeuge (f. feste u. flüssige Abfälle) ;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Wechselaufbauten (f. Sammelfahrzeuge);4;25
Abfallentsorgungs- und Recyclingwirtschaft;Saugwagen;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Spülwagen;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Sammelbehälter (oh. Rücksicht auf Rauminhalt und Material, z.B. Preßcontainer, Wechselbehälter);4;25
Abfallentsorgungs- und Recyclingwirtschaft;Abfallverdichter (auf Deponien);4;25
Abfallentsorgungs- und Recyclingwirtschaft;Laderaupen und Radlader;4;25
Abfallentsorgungs- und Recyclingwirtschaft;Zerkleinerer;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Granulieranlagen ;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Mühlen;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Shredder;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Chemische Emulsionsspaltanlagen;5;20
Abfallentsorgungs- und Recyclingwirtschaft;Thermische Emulsionsspaltanlagen;8;12
Abfallentsorgungs- und Recyclingwirtschaft;Siebbandpressen;5;20
Abfallentsorgungs- und Recyclingwirtschaft;Sortieranlagen;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Abfallpressen, Ballenpressen;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Magnetabscheider;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Drehtrommelsiebe;6;17
Abfallentsorgungs- und Recyclingwirtschaft;Laufkrane und Müllkrane in Betriebsgebäuden;12;8
Abfallentsorgungs- und Recyclingwirtschaft;Rauchgasreinigungseinrichtung;12;8
Abfallentsorgungs- und Recyclingwirtschaft;Kamin (gemauert);33;3
Abfallentsorgungs- und Recyclingwirtschaft;Tanklager für Sonderabfälle ;10;10
Abfallentsorgungs- und Recyclingwirtschaft;Laufkrane und Müllkrane für Betriebsgebäude;10;10
Abfallentsorgungs- und Recyclingwirtschaft;Rauchgasreinigungseinrichtungen;10;10
Abfallentsorgungs- und Recyclingwirtschaft;Kamin (Stahl);10;10
Aluminiumfolienindustrie;Stranggießanlagen;10;10
Aluminiumfolienindustrie;Schmelz-, Gieß- und Anwärmöfen;8;12
Aluminiumfolienindustrie;Vor- und Feinwalzwerke (einschl. Reversier- und Waschwalzwerke);8;12
Aluminiumfolienindustrie;Einzelgetriebe;6;17
Aluminiumfolienindustrie;Antriebsmotoren;8;12
Aluminiumfolienindustrie;Generatoren;8;12
Aluminiumfolienindustrie;sonst. elektr. Ausrüstungen;8;12
Aluminiumfolienindustrie;Kompressoren;8;12
Aluminiumfolienindustrie;Ölaufbereitungsanlagen;8;12
Aluminiumfolienindustrie;Walzölumlaufanlagen;8;12
Aluminiumfolienindustrie;Komplette Walzanlagen;8;12
Aluminiumfolienindustrie;Auseinander-, Band-, Doppel- und sonstige Wickelmaschinen;10;10
Aluminiumfolienindustrie;Laschmaschinen;8;12
Aluminiumfolienindustrie;Anlaß-, Anwärm-, Glüh-, Härte- und Trockenöfen;8;12
Aluminiumfolienindustrie;Dickenmeßgeräte;3;33
Aluminiumfolienindustrie;Barrenfräsmaschinen;8;12
Aluminiumfolienindustrie;Blocksägemaschinen;10;10
Aluminiumfolienindustrie;Rollenschneidemaschinen, Schmalschnittmaschinen, Rundmesserschneidemaschinen und Besäummaschinen;8;12
Aluminiumfolienindustrie;Prägemaschinen (einschl. Automaten);10;10
Aluminiumfolienindustrie;Abwickel-, Umwickel- und Abmeßmaschinen;10;10
Aluminiumfolienindustrie;Querschneider;8;12
Aluminiumfolienindustrie;Formatschneider;8;12
Aluminiumfolienindustrie;Bogenglattstoßmaschinen;10;10
Aluminiumfolienindustrie;Perforiereinrichtungen;8;12
Aluminiumfolienindustrie;Folienzieh-, Preß-, Glätte- u. Klebemaschinen (einschließlich Automaten);8;12
Aluminiumfolienindustrie;Stanzmaschinen;10;10
Aluminiumfolienindustrie;Hülsenabstech-, Schneide- u. Schleifmaschinen, Rohrsägen;8;12
Aluminiumfolienindustrie;Folienabfall-Absauganlagen;10;10
Aluminiumfolienindustrie;Färbe-, Lackier- und Einbrennmaschinen;8;12
Aluminiumfolienindustrie;Lack- und Farbenmischmaschinen;10;10
Aluminiumfolienindustrie;Lack- und Farbenaufbereitungsanlagen;10;10
Aluminiumfolienindustrie;Farbmühlen;8;12
Aluminiumfolienindustrie;Destillierapparate;5;20
Aluminiumfolienindustrie;Lösungsmittel- Rückgewinnungsanlagen;5;20
Aluminiumfolienindustrie;Leim-, Wachs- und Bitumenkaschiermaschinen, Leimstreifenkaschiermaschinen;8;12
Aluminiumfolienindustrie;Sortiermaschinen;8;12
Aluminiumfolienindustrie;Trockenmaschinen;8;12
Aluminiumfolienindustrie;Mischmaschinen (f. Kaschiermittel) ;10;10
Aluminiumfolienindustrie;Schmelz- und Wärmeanlagen (f. Kaschiermittel);10;10
Aluminiumfolienindustrie;Druckmaschinen aller Art und Zubehör;8;12
Aluminiumfolienindustrie;Korrektur-Abziehpressen;6;17
Aluminiumfolienindustrie;Druckvorbereitungsanlagen (Klischeepressen, Klischee- Schleifmaschinen, Klischee- Montiermaschinen, Zinkographieanlagen, Tiefdruckätzanlagen, Vulkanisiermaschinen, Reproduktionsanlagen, elektronische Bildverarbeitung, Gravuranlagen f. Tiefdruckzylinder .ä.);10;10
Aluminiumfolienindustrie;Etikettenschnellstanzer;8;12
Aluminiumfolienindustrie;Registerregelanlagen und Fotosteuerungen;3;33
Aluminiumfolienindustrie;Rundschleifmaschinen;8;12
Aluminiumfolienindustrie;Walzenpoliermaschinen;8;12
Aluminiumfolienindustrie;Messerschleifmaschinen;8;12
Aluminiumfolienindustrie;Hülsenkaschiermaschinen;8;12
Aluminiumfolienindustrie;Folienätzanlagen;5;20
Aluminiumfolienindustrie;Abfall-Paketierpressen;10;10
Aluminiumfolienindustrie;Filzwasch- und Trockenmaschinen;8;12
Aluminiumfolienindustrie;Folienmeß- und Prüfgeräte;3;33
Aluminiumfolienindustrie;Folien-Transportgestelle und -behälter;5;20
Aluminiumfolienindustrie;Glühwagen;4;25
Aluminiumfolienindustrie;Lösungsmitteltankanlagen;10;10
Aluminiumfolienindustrie;Walzenkörper (f. Veredlungsmaschinen);2;50
Baugewerbe;Trommel-, Trog- und Tellerkleinmischer bis 225 l;5;
Baugewerbe;Trommelmischer (ab 250 l);8;
Baugewerbe;Trog- und Tellermischer ab 250 l (autom.) einschl. Mischerbühnen und;6;
Baugewerbe;Transportbetonmischer;6;
Baugewerbe;Betonnachmischer (f. Stollenbau);6;
Baugewerbe;Mischtürme;8;
Baugewerbe;Waagen aller Art für Zuschlagstoffe;6;
Baugewerbe;Waagen aller Art für Zement;6;
Baugewerbe;Raummäßige Abmessvorrichtungen für Zuschlagstoffe u. Zement;8;
Baugewerbe;Abzugsbänder, Schubwagenspeiser;8;
Baugewerbe;Stoß- und Pendelaufgeber, Dosierschieber;8;
Baugewerbe;Vibrorinnen;8;
Baugewerbe;Stählerne Silos für Zuschlagstoffe u. Zement, einschl. Silozubehör (Verschlüsse, Abluftfilter, Bunkerstandsanzeiger);8;
Baugewerbe;Steinbrecher und -mühlen;10;
Baugewerbe;Schwingsiebe;6;
Baugewerbe;Sandrückgewinnungsschnecken, Schöpfräder;8;
Baugewerbe;Sandfänge;8;
Baugewerbe;Waschtrommeln;8;
Baugewerbe;Schwertauflöser;8;
Baugewerbe;Wasch- und Sortieranlagen;8;
Baugewerbe;Hydraul. Sandaufbereitungsanlagen;6;
Baugewerbe;Innenrüttler;3;
Baugewerbe;Frequenz- und Spannungswandler;5;
Baugewerbe;mit Lastmoment bis 160 kNm;7;
Baugewerbe;mit Lastmoment über 160 kNm;8;
Baugewerbe;Kabelkrane;8;
Baugewerbe;Derrick-Krane;12;
Baugewerbe;Portalkrane;8;
Baugewerbe;Brückenkrane;15;
Baugewerbe;bis 30 t Hubgewicht;6;
Baugewerbe;über 30 t Hubgewicht;8;
Baugewerbe;Lastaufnahmemittel (f. Krane);4;
Baugewerbe;Motor-Seilwinden;10;
Baugewerbe;Handkabelwinden;4;
Baugewerbe;Greifzüge;8;
Baugewerbe;Hand- und Radialschrapperanlagen;6;
Baugewerbe;Elektrozüge;12;
Baugewerbe;Bauaufzüge;7;
Baugewerbe;Becherwerke (Elevatoren);8;
Baugewerbe;Förderbänder;7;
Baugewerbe;Plattenbänder;7;
Baugewerbe;Förderschnecken;7;
Baugewerbe;Betonpumpen und Betonverteilermaste;6;
Baugewerbe;Autobetonpumpen;6;
Baugewerbe;Pneumatische Betonförderanlagen (mit Betonförderrohren);6;
Baugewerbe;Mörtelfördergeräte und Verputzgeräte;4;
Baugewerbe;Betonspritzgeräte;8;
Baugewerbe;Zementpumpen und Zubehör;8;
Baugewerbe;Verpresspumpen für Zementmörtel;5;
Baugewerbe;Unterwasserbetoniereinrichtungen;5;
Baugewerbe;Hydraulische Pressen und Pumpen;8;
Baugewerbe;Rohrgehänge, Rohrpressgeräte mit Vortriebspressen;6;
Baugewerbe;Elektrokarren, Dieselkarren, Hubstapler;8;
Baugewerbe;Diesellokomotiven, Elektrolokomotiven;10;
Baugewerbe;Kastenkipper, Muldenkipper, Betonkipper, Plattformwagen, Drehschemelwagen;10;
Baugewerbe;Schienenmaterial;15;
Baugewerbe;Rahmengleis;10;
Baugewerbe;Hydraulische Schalungshubwagen;6;
Baugewerbe;Hydraulische Schalungskipptische;6;
Baugewerbe;Weichen;8;
Baugewerbe;Einschienenbahnen;4;
Baugewerbe;Vorderkipper;4;
Baugewerbe;Tieflader;8;
Baugewerbe;ab 151 kW Motorleistung;8;
Baugewerbe;leichte, bis 30 kW Motorleistung;6;
Baugewerbe;mittelschwere, ab 31 kW Motorleistung;8;
Baugewerbe;schwere, ab 75 kW Motorleistung;10;
Baugewerbe;Teleskopbagger;7;
Baugewerbe;Eimerkettentrockenbagger, Schaufelradbagger;15;
Baugewerbe;Schaufelradgrabenbagger auf Raupen;8;
Baugewerbe;Schlitzwandmaschinen (Greifer, Meißel und Abschalrohre für Schlitzwände);4;
Baugewerbe;Planierraupen, Ladegeräte auf Raupen;4;
Baugewerbe;Luftbereifte Lade- und Planiergeräte, Baggerlader;4;
Baugewerbe;Motorschürfwagen, Schürfkübelraupen;4;
Baugewerbe;Anhänge-Schürfwagen;6;
Baugewerbe;Grader (Motorstraßenhobel);5;
Baugewerbe;Freifallrammen mit Dieselantrieb;8;
Baugewerbe;Universaldampframmen;12;
Baugewerbe;Fahrbare Rammgerüste;8;
Baugewerbe;Universalrammen, dieselhydraulisch oder für Explosionsbären, auf Schienen oder;8;
Baugewerbe;Rammeinrichtung zum Anbau an Bagger, Mäkler;5;
Baugewerbe;Freifallrammbären, Dampframmbären, Freifallbirnen;12;
Baugewerbe;Druckluftrammbären;8;
Baugewerbe;Dieselbären und Dieselpfahlzieher;5;
Baugewerbe;Elektrovibrationsbären, Hydraulikvibrationsbären;4;
Baugewerbe;Rammhämmer und Pfahlzieher;8;
Baugewerbe;Rammunterwagen;12;
Baugewerbe;Rammhauben (Schlaghauben);5;
Baugewerbe;Felsmeißeleinrichtungen, Betonzertrümmerungsgeräte;5;
Baugewerbe;Flächenrüttler, Vibrostampfer, Explosionsstampframmen;4;
Baugewerbe;Kranrüttler, Tiefenrüttler;4;
Baugewerbe;Glattwalzen (Dieseldreirad- und Tandemwalzen), Schaffußwalzen;10;
Baugewerbe;Gummiradwalzen;8;
Baugewerbe;Vibrationswalzen;4;
Baugewerbe;Abteufpumpen;8;
Baugewerbe;Einstufige und mehrstufige Kreiselpumpen;8;
Baugewerbe;Kreiselpumpen für Sand-Wasser-Gemische;6;
Baugewerbe;Tauchkörperpumpen;6;
Baugewerbe;Unterwassermotorpumpen;8;
Baugewerbe;für Tiefbrunneneinsatz;12;
Baugewerbe;für Spülbetrieb, Hochdruck-Kolbenpumpen bis 200 bar;8;
Baugewerbe;Vakuumpumpen;6;
Baugewerbe;Vakuumanlagen;6;
Baugewerbe;Schnellkupplungsrohre und zugehörige Armaturen;6;
Baugewerbe;Flanschenrohre und zugehörige Armaturen;8;
Baugewerbe;Wasserbehälter;10;
Baugewerbe;Dreh- und Schlagbohranlagen, Universalbohranlagen, Saug- und;8;
Baugewerbe;Verrohrungsmaschinen;8;
Baugewerbe;Misch- und Trocknungsanlagen;8;
Baugewerbe;Entstaubungsanlagen;8;
Baugewerbe;Mischgutverladesilos;8;
Baugewerbe;Dosiergeräte;8;
Baugewerbe;Bindemittel-Lagertanks;8;
Baugewerbe;Teer- und Bitumenkocher;8;
Baugewerbe;Pumpen- und Heizaggregate;8;
Baugewerbe;Schwarzdeckenfertiger, Schleppverteiler;6;
Baugewerbe;bis 1,0m Fräsbreite;4;
Baugewerbe;über 1,0m Fräsbreite;6;
Baugewerbe;Splittstreumaschinen;6;
Baugewerbe;Spritzmaschinen;6;
Baugewerbe;Gussasphaltmotorkocher;6;
Baugewerbe;Gussasphaltfertiger;6;
Baugewerbe;Rüttelbohlen, Abziehbohlen;4;
Baugewerbe;Betonverteiler;6;
Baugewerbe;Betondeckenfertiger, Arbeitsbühnen;6;
Baugewerbe;Arbeitszelte, Sonnenschutzdächer;6;
Baugewerbe;Schalungsschienen;6;
Baugewerbe;Fugenschneider, Betondeckenfräsen;4;
Baugewerbe;Fugenvergusskessel, Papierabrollwagen;6;
Baugewerbe;Bodenvermörtelungsgeräte;6;
Baugewerbe;Zementstreugeräte;6;
Baugewerbe;Kehrmaschinen (selbstfahrend);8;
Baugewerbe;Straßentrockner;8;
Baugewerbe;Wassersprengwagen;8;
Baugewerbe;Estrichglättmaschinen;4;
Baugewerbe;Schienenbiege- und -richtmaschinen;10;
Baugewerbe;Schienentrennschleifgeräte;5;
Baugewerbe;Sonstige Schienenbearbeitungs- und -verlegemaschinen;6;
Baugewerbe;Schwellenbearbeitungs- und -verlegemaschinen;6;
Baugewerbe;Schraubmaschinen;4;
Baugewerbe;Handgleisstopfgeräte als Einzelgeräte;4;
Baugewerbe;Handgleisstopfgeräte als komplette Anlage;5;
Baugewerbe;Stopfmaschinen für Gleise u. Weichen;6;
Baugewerbe;Bettungsreinigungsmaschinen für Gleise u. Weichen;6;
Baugewerbe;mit Verbrennungsmotor;6;
Baugewerbe;mit Elektromotor;8;
Baugewerbe;Druckluftbehälter;12;
Baugewerbe;Druckluftnachkühler, Wasserrückkühler;8;
Baugewerbe;Drucklufthämmer, Drucklufthandrammen;3;
Baugewerbe;Gesteinsbohrmaschinen und Lafetten;6;
Baugewerbe;Bohrwagen mit Reifen o. Raupenfahrwerk;6;
Baugewerbe;Sandstrahlgebläse;8;
Baugewerbe;Tunnelfräsen, Schrämgeräte, Bodenlösegeräte;6;
Baugewerbe;Wurfschaufellader, Kippschaufellader;5;
Baugewerbe;Eimerkettenschwimmbagger;20;
Baugewerbe;Schwimmende Greifbagger, schwimmende Krane;18;
Baugewerbe;Schwimmende Förderbandanlagen;10;
Baugewerbe;Schutenlader, Schutensauger, Grundsauger für schwimmende Leitung ;20;
Baugewerbe;Saugbagger mit Schneidkopfeinrichtung;20;
Baugewerbe;Kleinsaugbagger mit Schneidkopfeinrichtung;12;
Baugewerbe;Förderpumpenaggregate;10;
Baugewerbe;Spülrohrleitungen;6;
Baugewerbe;Motorschiffe und Schlepper;15;
Baugewerbe;Barkassen und Binnenschlepper;18;
Baugewerbe;Arbeitsboote;5;
Baugewerbe;Ruderpropeller und Außenbordmotoren;5;
Baugewerbe;Spülerschuten, Klappschuten;18;
Baugewerbe;Offene, einwandige Schuten;10;
Baugewerbe;Offene Pontons;10;
Baugewerbe;Zellenpontons;12;
Baugewerbe;Gedeckte Pontons;18;
Baugewerbe;Motorantrieb;10;
Baugewerbe;Handantrieb;4;
Baugewerbe;Baubuden (einwandig);6;
Baugewerbe;Baracken (doppelwandig, oh. Fundament), Wellblechschuppen;7;
Baugewerbe;Wasch- und Toilettenwagen;6;
Baugewerbe;Baucontainer;10;
Baugewerbe;Fahrbare Arbeitsbühnen und Teleskopanhängeleitern;8;
Baugewerbe;Gerüste und Fahrgerüste aus Stahl einschl. Rahmentafeln aus Stahl;8;
Baugewerbe;Leichtmetallgerüste einschl. Rahmentafeln;5;
Baugewerbe;Hebebühnen mit hydraulischem Antrieb, auf Fahrzeug montiert (oh. Fahrzeug);8;
Baugewerbe;Hubgelenkbühnen (Sky-Lifte);6;
Baugewerbe;Sicherheitsleitern, fahrbar (Montage-Anhängeleitern);8;
Baugewerbe;Material- und Gerüstaufzüge;5;
Baugewerbe;Palett-Hubwagen, hydraulisch;7;
Baugewerbe;Palett-Hubwagen, Elektro-;7;
Baugewerbe;elektronisch (Laser);5;
Baugewerbe;Labor- und Prüfgeräte;8;
Baugewerbe;Steintrennmaschinen;4;
Baugewerbe;Dampfstrahlreiniger, Wasserstrahlreiniger;5;
Baugewerbe;Elektro- und Benzinhämmer;3;
Baugewerbe;Bautrocknungs- und Warmluftgeräte;5;
Bekleidungsindustrie (ohne Lederbekleidung);Handbetrieb;10;10
Bekleidungsindustrie (ohne Lederbekleidung);Bandmesser-;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Vertikalmesser;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Automat. Schnittbilddarstellung;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Schwenkarmstanzen, Brückenstanzen und ähnl. Stanzen;10;10
Bekleidungsindustrie (ohne Lederbekleidung);Großstanzanlagen;6;17
Bekleidungsindustrie (ohne Lederbekleidung);Etikettier- u. Numeriermaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Einzelanlagen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Doppelanlagen oh. Abstapler;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Doppelanlagen m. Abstapler;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Schnellnäher;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Schnellnäher m. Zusatzvorrichtung;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Steppmaschinen-Zwei Nadeln;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Kettenstichmaschinen (alle Stichtypen);5;20
Bekleidungsindustrie (ohne Lederbekleidung);Staffiermaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Umstechmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Safetystichmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Zickzackmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Biesenmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Kragenaufsetzmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Kräuselmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Gummifadenmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Hohlsaummaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Zwei- u. Mehrnadelmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Schlaufenmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Zweinadel- Armabwärtsmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Zylindermaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Nähbügelmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Näh-Auszackmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Knopflochmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Knopfannähmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Stielumwickelmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Kurz- u. Langnahtautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Umstechautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Pattenautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Kragenautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Taschenpaspelautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Taschenaufnähautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Abnäherautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Stickautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Wendeautomaten;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Riegelmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Doppelpressen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Karusselldampfbügelanlagen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Dampfbügelstraßen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Dämpfpuppen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Dämpfpuppen m. Endfinish-Gerät;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Nahtausbügelmaschinen;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Dampf- u. Absaugbügeltische;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Warenschaumaschinen;10;10
Bekleidungsindustrie (ohne Lederbekleidung);Krumpfanlagen;7;14
Bekleidungsindustrie (ohne Lederbekleidung);Lichtpausmaschinen;7;14
Bekleidungsindustrie (ohne Lederbekleidung);Perforiermaschinen;10;10
Bekleidungsindustrie (ohne Lederbekleidung);Texografiegeräte;5;20
Bekleidungsindustrie (ohne Lederbekleidung);Lege- u. Packmaschinen;7;14
Bekleidungsindustrie (ohne Lederbekleidung);Besprühanlagen (Pausanlagen);7;14
Bekleidungsindustrie (ohne Lederbekleidung);Dampferzeuger;10;10
Bekleidungsindustrie (ohne Lederbekleidung);Förder- u. Lagersysteme;7;14
Bekleidungsindustrie (ohne Lederbekleidung);Cad-Systeme;5;20
Bekleidungsindustrie (ohne Lederbekleidung);EDV-Anlagen, PC;5;20
Beton- und Fertigteilindustrie;leichte (z.B. Backen-, Prallbrecher);7;14
Beton- und Fertigteilindustrie;schwere (z.B. Hammerbrecher);10;10
Beton- und Fertigteilindustrie;Kugel- (Farb-)Mühlen;10;10
Beton- und Fertigteilindustrie;Sieb-, Sortier- und Waschanlagen;8;12
Beton- und Fertigteilindustrie;Zwangsmischer;6;17
Beton- und Fertigteilindustrie;Freifallmischer;6;17
Beton- und Fertigteilindustrie;Betonsteuerungen;5;20
Beton- und Fertigteilindustrie;Betonstahlscheren;7;14
Beton- und Fertigteilindustrie;Betonstahlbiegemaschinen;7;14
Beton- und Fertigteilindustrie;Richtmaschinen;5;20
Beton- und Fertigteilindustrie;Fülltechnik/Beschickungsanlagen;6;17
Beton- und Fertigteilindustrie;Elektrohandstampfer;3;33
Beton- und Fertigteilindustrie;Preßlufthandstampfer;5;20
Beton- und Fertigteilindustrie;Schlagmaschinen;7;14
Beton- und Fertigteilindustrie;Steinpressen;10;10
Beton- und Fertigteilindustrie;Betonrohrpressen und Betonrohrmaschinen;5;20
Beton- und Fertigteilindustrie;Rüttel-(Schwing-)Tische;4;25
Beton- und Fertigteilindustrie;andere Rüttler;4;25
Beton- und Fertigteilindustrie;f. Betonrohre u. Stahlbetonrohre;8;12
Beton- und Fertigteilindustrie;f. Stahlbetonmasten;8;12
Beton- und Fertigteilindustrie;Hohldeckenanlage;8;12
Beton- und Fertigteilindustrie;Anlagen zur Herstellung von Gitterträgerelementen;8;12
Beton- und Fertigteilindustrie;Spanneinrichtungen für Spannbeton;5;20
Beton- und Fertigteilindustrie;Wandarm- und Säulenschleifmaschinen (Flächen-, Stufen- und Profil);7;14
Beton- und Fertigteilindustrie;Schleifköpfe (m. biegsamer Welle);5;20
Beton- und Fertigteilindustrie;Schurscheiben;8;12
Beton- und Fertigteilindustrie;Steinnachbearbeitungsmaschinen;3;33
Beton- und Fertigteilindustrie;Becherwerke;7;14
Beton- und Fertigteilindustrie;Pneumatische Fördergeräte;8;12
Beton- und Fertigteilindustrie;Motor. Abtrag- und Stapelgeräte;5;20
Beton- und Fertigteilindustrie;Stapelfahrzeuge/Flurförderzeuge;5;20
Beton- und Fertigteilindustrie;Prüfpressen;8;12
Beton- und Fertigteilindustrie;Restbetonauswaschanlagen;8;12
Bimsbaustoffindustrie;Bagger auf Raupen (Schürfkübelbagger, Greifbagger, Löffelbagger);6;17
Bimsbaustoffindustrie;fahrbar;4;25
Bimsbaustoffindustrie;Mischanlagen mit dazugehöriger Zementsilo-, Zementförder- und Wiegeeinrichtung;6;17
Bimsbaustoffindustrie;stationäre Vibro-Automaten;5;20
Bimsbaustoffindustrie;bewegliche Vibrationsmaschinen;3;33
Bimsbaustoffindustrie;Becherwerke und Elevatoren;6;17
Bimsbaustoffindustrie;Motor, Abtrag- und Stapelgeräte, Verladegeräte;5;20
Bimsbaustoffindustrie;Blechkonstruktion;9;11
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Teichanlagen (künstlich angelegt) ;20;5
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Umlaufanlagen (Kanäle, Gräben, Rohrleitungen u.ä.) ;20;5
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Netzgehege ;10;10
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Fließkanalanlagen ;20;5
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Holz, Kunststoff ;10;10
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Maschinelle Anlagen (automatischer Rechen, Schlammräumer, Sammelbehälter u.ä.) ;8;12
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Sonstige bauliche Anlagen (Hofbefestigungen, Brücken, (Leichtbauweise), Stege u.ä.) ;10;10
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Bruthäuser ;20;5
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Anlagen zur Wasseraufbereitung ;10;10
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Fischwirtschaftsgebäude ;20;5
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Boote und Kähne mit und ohne Motorantrieb (Holz, Metall, Kunststoff), Bootsanhänger ;10;10
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Außenbordmotoren;5;20
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Aufzugswinden;10;10
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Mähmaschinen ;5;20
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Teichentlandungs- und -reinigungsmaschinen (Bagger, Raupen, Absaugvorrichtungen) ;8;12
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Vorrichtungen für Teichdüngung und -desinfektion ;8;12
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Vorrichtungen zur Durchlüftung und Sauerstoffversorgung ;5;20
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;textil ;8;12
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Reinigungsgeräte (aller Art) ;5;20
Binnenfischerei, Teichwirtschaft, Fischzucht, fischwirtschaftliche Dienstleistungen;Warn- und Alarmanlagen einschl. Überwachung der Wasserparameter ;8;12
